Cenario 4,Grupo,geracao 0,geracao 1,geracao 2,geracao 3,geracao 4,geracao 5,geracao 6,geracao 7,geracao 8,geracao 9,geracao 10,geracao 11,geracao 12
N=16,1,4,5,4,3,1,2,2,1,0,0,0,0,0
p=1/4,2,4,4,3,0,0,0,0,0,0,0,0,0,0
,3,4,7,7,2,2,4,8,12,11,9,9,12,13
,4,4,6,5,6,6,8,8,11,10,12,15,14,14
,5,4,4,3,5,9,11,11,13,15,16,16,16,16
,6,4,5,8,5,4,6,5,4,3,5,4,4,4
,7,4,5,3,4,3,3,4,4,4,7,6,7,7
,8,4,3,4,4,5,5,4,4,9,8,10,12,10
,9,4,6,8,5,4,5,7,10,11,12,16,16,16
,10,4,2,1,1,2,3,5,5,4,1,3,2,3
,11,4,5,5,7,10,14,15,16,16,16,16,16,16
,12,4,4,4,6,5,2,3,11,4,6,5,2,8
,13,4,8,7,3,1,0,0,0,0,0,0,0,0
,14,4,7,8,6,6,5,7,10,11,12,16,16,16
,15,4,3,6,5,4,2,2,1,1,1,2,4,4
,16,4,3,3,3,3,1,0,0,0,0,0,0,0
,17,4,2,1,1,0,0,0,0,0,0,0,0,0
,18,4,5,8,10,13,12,12,14,15,13,14,16,16
,19,4,6,5,5,5,5,7,8,7,10,7,9,8
,20,4,1,1,2,2,1,1,0,0,0,0,0,0
,21,4,8,10,10,12,14,16,16,16,16,16,16,16
,22,4,3,4,5,8,10,7,6,8,7,10,9,9
,23,4,4,2,1,3,2,1,0,0,0,0,0,0
,24,4,7,9,11,12,12,15,15,16,16,16,16,16
,25,4,9,6,4,5,5,4,2,1,0,0,0,0
,26,4,2,3,2,0,0,0,0,0,0,0,0,0
,27,4,5,6,5,2,2,1,0,0,0,0,0,0
,28,4,4,3,1,0,0,0,0,0,0,0,0,0
,29,4,2,3,5,6,12,15,14,12,12,11,12,12
,30,4,7,7,8,10,9,11,12,13,16,16,16,16
,31,4,3,5,3,3,3,1,0,0,0,0,0,0
,32,4,1,2,1,3,3,4,6,3,4,3,5,10
,33,4,4,3,4,4,1,1,1,0,0,0,0,0
,34,4,4,2,1,0,0,0,0,0,0,0,0,0
,35,4,5,3,4,2,0,0,0,0,0,0,0,0
