Cenario 2,Grupo,geracao 0,geracao 1,geracao 2,geracao 3,geracao 4,geracao 5,geracao 6,geracao 7,geracao 8,geracao 9,geracao 10,geracao 11,geracao 12
N=4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
p=1/4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,3,1,1,2,2,2,1,0,0,0,0,0,0,0
,4,1,1,2,2,4,4,4,4,4,4,4,4,4
,5,1,1,0,0,0,0,0,0,0,0,0,0,0
,6,1,1,2,2,3,4,4,4,4,4,4,4,4
,7,1,2,1,2,2,2,2,2,0,0,0,0,0
,8,1,0,0,0,0,0,0,0,0,0,0,0,0
,9,1,2,3,1,0,0,0,0,0,0,0,0,0
,10,1,0,0,0,0,0,0,0,0,0,0,0,0
,11,1,3,2,4,4,4,4,4,4,4,4,4,4
,12,1,2,1,0,0,0,0,0,0,0,0,0,0
,13,1,0,0,0,0,0,0,0,0,0,0,0,0
,14,1,2,1,2,4,4,4,4,4,4,4,4,4
,15,1,1,1,1,3,3,3,3,3,4,4,4,4
,16,1,1,1,0,0,0,0,0,0,0,0,0,0
,17,1,1,0,0,0,0,0,0,0,0,0,0,0
,18,1,2,3,3,4,4,4,4,4,4,4,4,4
,19,1,0,0,0,0,0,0,0,0,0,0,0,0
,20,1,1,0,0,0,0,0,0,0,0,0,0,0
,21,1,3,4,4,4,4,4,4,4,4,4,4,4
,22,1,2,2,2,1,2,2,0,0,0,0,0,0
,23,1,2,2,2,1,0,0,0,0,0,0,0,0
,24,1,1,3,3,2,1,1,3,4,4,4,4,4
,25,1,2,2,1,2,3,4,4,4,4,4,4,4
,26,1,1,1,0,0,0,0,0,0,0,0,0,0
,27,1,2,2,2,4,4,4,4,4,4,4,4,4
,28,1,1,1,1,1,0,0,0,0,0,0,0,0
,29,1,0,0,0,0,0,0,0,0,0,0,0,0
,30,1,0,0,0,0,0,0,0,0,0,0,0,0
,31,1,1,0,0,0,0,0,0,0,0,0,0,0
,32,1,2,2,4,4,4,4,4,4,4,4,4,4
,33,1,1,0,0,0,0,0,0,0,0,0,0,0
,34,1,0,0,0,0,0,0,0,0,0,0,0,0
,35,1,3,3,2,4,4,4,4,4,4,4,4,4
